time,gFx,gFy,gFz,TgF
12.409858,0.0376,0.0279,-0.9884,0.99
12.431136,0.0376,0.0279,-0.9855,0.99
12.449155,0.0371,0.0284,-0.9821,0.98
12.47565,0.0346,0.0299,-0.9806,0.98
12.491484,0.0351,0.0284,-0.987,0.99
12.516599,0.0312,0.0309,-0.987,0.99
12.531755,0.0332,0.0294,-0.988,0.99
12.557866,0.0322,0.0318,-0.985,0.99
12.576381,0.0327,0.0304,-0.9845,0.99
12.592143,0.0322,0.0304,-0.9855,0.99
12.617842,0.0332,0.0279,-0.987,0.99
12.639919,0.0307,0.0289,-0.987,0.99
12.657207,0.0317,0.0294,-0.987,0.99
12.675363,0.0312,0.0294,-0.9865,0.99
12.700643,0.0293,0.0299,-0.9865,0.99
12.718157,0.0302,0.0289,-0.9884,0.99
12.736769,0.0302,0.0299,-0.985,0.99
12.756816,0.0283,0.0304,-0.9894,0.99
12.774161,0.0283,0.0294,-0.9904,0.99
12.79943,0.0283,0.0309,-0.9943,1
12.815205,0.0273,0.0328,-0.9894,0.99
12.842277,0.0298,0.0284,-0.988,0.99
12.857217,0.0332,0.0284,-0.9948,1
12.88145,0.0342,0.0343,-0.9963,1
12.899412,0.0386,0.0333,-0.966,0.97
12.914378,0.0434,0.0309,-0.9601,0.96
12.939522,0.0312,0.0309,-0.9831,0.98
12.956723,0.0258,0.0274,-1.0036,1
12.982263,0.0263,0.0294,-1.0075,1.01
12.998714,0.0283,0.0309,-0.9938,0.99
13.02304,0.0332,0.0299,-0.9811,0.98
13.043766,0.04,0.0323,-0.9757,0.98
13.05602,0.04,0.0318,-0.9777,0.98
13.082044,0.0434,0.0313,-0.9855,0.99
13.099455,0.0425,0.0304,-0.9889,0.99
13.124596,0.042,0.0279,-0.9865,0.99
13.145814,0.043,0.0269,-0.987,0.99
13.163739,0.0449,0.0284,-0.984,0.99
13.17969,0.0474,0.0323,-0.9801,0.98
13.205871,0.0464,0.0309,-0.9811,0.98
13.221377,0.0454,0.0304,-0.984,0.99
13.24879,0.0459,0.0279,-0.9914,0.99
13.262063,0.0464,0.0279,-0.9909,0.99
13.280725,0.0483,0.0265,-0.9899,0.99
13.30429,0.0508,0.0294,-0.9836,0.99
13.323093,0.0537,0.0284,-0.9855,0.99
13.347326,0.0566,0.0279,-0.9821,0.98
13.36144,0.0581,0.0274,-0.986,0.99
13.38045,0.0576,0.0265,-0.9831,0.99
13.404663,0.0586,0.0265,-0.9816,0.98
13.421149,0.0601,0.0265,-0.9806,0.98
13.444331,0.0601,0.0274,-0.984,0.99
13.46152,0.0581,0.0294,-0.985,0.99
13.488427,0.0606,0.0279,-0.9884,0.99
13.504612,0.0596,0.0284,-0.9884,0.99
13.534249,0.0625,0.0289,-0.987,0.99
13.548186,0.0645,0.0299,-0.9855,0.99
13.569221,0.0674,0.0289,-0.984,0.99
13.587238,0.0669,0.0274,-0.9836,0.99
13.60408,0.0684,0.0274,-0.9821,0.98
13.63186,0.0684,0.0279,-0.9826,0.99
13.652485,0.0703,0.0274,-0.9826,0.99
13.670046,0.0723,0.025,-0.9787,0.98
13.687504,0.0723,0.0255,-0.9801,0.98
13.711215,0.0742,0.025,-0.9836,0.99
13.728119,0.0733,0.026,-0.9855,0.99
13.760753,0.0689,0.0255,-0.987,0.99
13.767729,0.0694,0.0255,-0.9855,0.99
13.786187,0.0713,0.026,-0.9831,0.99
13.810007,0.0772,0.0294,-0.9928,1
13.827362,0.0796,0.0304,-0.9796,0.98
13.851428,0.0855,0.0274,-0.962,0.97
13.869727,0.0762,0.0245,-0.9738,0.98
13.893766,0.0694,0.0211,-0.9914,0.99
13.911376,0.0708,0.0235,-0.9914,0.99
13.927354,0.0718,0.025,-0.9845,0.99
13.952287,0.0733,0.0265,-0.9748,0.98
13.968269,0.0747,0.0245,-0.9821,0.99
13.993728,0.0767,0.0279,-0.984,0.99
14.011216,0.0777,0.026,-0.9821,0.99
14.040248,0.0752,0.0279,-0.9811,0.98
14.051647,0.0747,0.0269,-0.9801,0.98
14.076845,0.0718,0.0255,-0.9875,0.99
14.091172,0.0713,0.0274,-0.988,0.99
14.119578,0.0728,0.0289,-0.9816,0.98
14.137689,0.0718,0.0279,-0.9806,0.98
14.157952,0.0713,0.0269,-0.9831,0.99
14.173634,0.0679,0.0255,-0.9845,0.99
14.191982,0.0674,0.0255,-0.9855,0.99
14.21742,0.0698,0.025,-0.984,0.99
14.238271,0.0679,0.0255,-0.984,0.99
14.257862,0.0689,0.026,-0.986,0.99
14.273681,0.0674,0.0255,-0.9865,0.99
14.299482,0.0694,0.0265,-0.9836,0.99
14.316329,0.0689,0.0265,-0.9836,0.99
14.337168,0.0645,0.0265,-0.984,0.99
14.357072,0.0635,0.0265,-0.9836,0.99
14.374217,0.0625,0.0265,-0.985,0.99
