time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
7.516158,0.1471,-0.0122,0.1422,0.205
7.548689,-0.0788,-0.042,-0.0126,0.09
7.577388,-0.0004,0.0131,-0.0066,0.015
7.578143,-0.0004,0.0131,-0.0066,0.015
7.598351,0.1297,0.0037,0.004,0.13
7.61799,0.0898,-0.0276,-0.1435,0.172
7.650558,-0.056,0.0339,0.028,0.071
7.68189,-0.0173,-0.0603,0.0038,0.063
7.682567,-0.0231,-0.0729,-0.0038,0.077
7.698855,-0.031,-0.0541,-0.0022,0.062
7.718673,-0.0158,-0.0364,-0.0195,0.044
7.751219,-0.0199,0.0261,0.0623,0.07
7.782641,0.0615,0.0167,-0.0893,0.11
7.783152,0.0615,0.0167,-0.0893,0.11
7.801886,0.0496,0.0035,-0.0021,0.05
7.820814,-0.0008,0.0449,0.1034,0.113
7.852129,0.0374,0.0434,0.0402,0.07
7.883339,0.0525,-0.0514,-0.0198,0.076
7.883881,0.0525,-0.0514,-0.0198,0.076
7.902823,0.0369,-0.0493,-0.0113,0.063
7.922554,0.0454,-0.0068,-0.0265,0.053
7.954056,0.0569,-0.0307,0.0264,0.07
7.98453,0.0223,0.004,-0.0722,0.076
7.985304,0.0223,0.004,-0.0722,0.076
8.003792,0.0001,0.0283,0.0179,0.033
8.0243,0.0581,0.005,0.1326,0.145
8.057963,-0.083,-0.0543,-0.0483,0.11
8.08657,-0.0666,-0.0148,0.0744,0.101
8.087175,-0.0666,-0.0148,0.0744,0.101
8.109152,0.095,-0.0514,0.1301,0.169
8.125871,0.038,-0.0231,0.0215,0.049
8.154357,-0.168,-0.0439,-0.1196,0.211
8.178128,-0.0159,-0.0281,-0.0537,0.063
8.18764,0.1226,-0.0104,-0.0175,0.124
8.208884,0.0938,0.0215,-0.0615,0.114
8.227446,0.002,0.0833,-0.0223,0.086
8.257811,-0.0771,0.0425,0.1421,0.167
8.295579,0.0726,-0.0105,-0.0032,0.073
8.296514,0.0726,-0.0105,-0.0032,0.073
8.311271,0.084,-0.0068,-0.0386,0.093
8.329991,-0.0521,-0.0421,0.1065,0.126
8.358646,0.0787,-0.1284,0.1518,0.214
8.392284,-0.0757,0.0451,-0.0377,0.096
8.392984,-0.0757,0.0451,-0.0377,0.096
8.412518,-0.0692,0.1056,-0.2595,0.289
8.431929,0.0347,-0.0565,-0.3172,0.324
8.451456,0.0332,-0.0765,-0.1214,0.147
8.476623,0.0193,0.0037,0.1552,0.156
8.511722,0.0109,-0.0057,0.1446,0.145
8.524621,0.0296,-0.0434,0.1138,0.125
8.541996,0.0307,-0.0039,0.0629,0.07
8.557932,-0.0914,0.1223,0.0401,0.158
8.576392,0.0443,0.1334,0.0459,0.148
8.595197,0.0906,0.0753,0.0382,0.124
8.630658,-0.0022,-0.0148,-0.1893,0.19
8.644968,0.0173,-0.0358,-0.0605,0.072
8.658942,0.0913,-0.0544,0.0579,0.121
8.677107,0.1357,-0.0277,-0.0428,0.145
8.696458,-0.0169,-0.0079,-0.1717,0.173
8.733336,-0.0603,0.0188,0.0669,0.092
8.744588,0.0237,-0.0018,0.1612,0.163
8.760805,0.013,-0.0224,0.1377,0.14
8.777636,-0.048,-0.0054,0.0066,0.049
8.799856,-0.1026,-0.0111,-0.0314,0.108
8.83916,0.0621,0.0133,0.1357,0.15
8.844711,0.0786,0.0038,0.1298,0.152
8.861976,0.06,-0.0313,-0.0097,0.068
8.899038,-0.0098,-0.0054,-0.0904,0.091
8.931287,0.1252,0.0248,0.0279,0.131
8.932143,0.1572,0.0137,0.0559,0.167
8.945206,0.1766,0.0124,0.0332,0.18
8.962758,-0.0747,0.0047,-0.0228,0.078
8.999796,-0.0752,0.073,0.0306,0.109
9.030457,0.0907,0.0152,0.0153,0.093
9.030991,0.0907,0.0152,0.0153,0.093
9.046356,-0.0182,0.0414,-0.03,0.054
9.06459,-0.0088,-0.0207,0.0357,0.042
9.101325,0.0163,-0.0043,0.0223,0.028
9.137488,0.0718,-0.055,-0.1091,0.142
9.138598,0.0522,-0.0566,-0.0751,0.108
9.148818,0.0132,-0.0189,-0.0765,0.08
9.165473,-0.0531,0.0162,0.04,0.068
9.2023,0.0594,0.033,0.0888,0.112
9.234515,-0.0417,-0.0277,-0.1246,0.134
9.235187,-0.0417,-0.0277,-0.1246,0.134
9.249903,-0.1357,0.0365,0.0114,0.141
9.268999,-0.0431,0.0006,0.2184,0.223
9.311496,0.015,0.0531,-0.1518,0.162
9.318,-0.0107,0.0616,-0.186,0.196
9.34858,0.0114,0.0231,0.0544,0.06
9.371361,-0.0318,0.0172,0.0782,0.086
9.37251,-0.0318,0.0172,0.0782,0.086
9.390809,0.0824,-0.0469,-0.1538,0.181
9.413111,0.0226,0.0316,-0.1724,0.177
9.437351,0.0536,-0.0235,0.0822,0.101
9.454809,0.0023,-0.0584,0.1166,0.13
9.471738,-0.0472,-0.0772,0.0087,0.091
9.492908,-0.0962,0.021,-0.0078,0.099
9.52397,0.0404,-0.0604,0.143,0.16
9.554584,-0.0545,-0.0401,-0.1243,0.142
9.5553,-0.0634,-0.0235,-0.1468,0.162
9.575295,-0.0615,0.023,-0.1176,0.135
9.595055,0.0399,0.0394,0.0261,0.062
9.624429,0.0414,-0.0403,-0.0505,0.077
9.65476,-0.1096,-0.0174,-0.0645,0.128
9.655345,-0.1056,-0.0424,-0.0049,0.114
9.676287,0.1423,0.0016,0.1918,0.239
9.696233,0.086,0.0309,0.0718,0.116
9.717023,-0.0639,0.0737,-0.0642,0.117
9.753818,-0.0384,0.0249,-0.0025,0.046
9.779579,0.0586,0.0921,0.0737,0.132
9.780836,0.0586,0.0921,0.0737,0.132
9.799045,0.0811,-0.0313,-0.002,0.087
9.830326,0.0225,-0.0549,-0.1241,0.138
9.858764,-0.0181,0.0286,0.1562,0.16
9.859307,-0.0181,0.0286,0.1562,0.16
9.88079,0.0484,-0.0422,0.153,0.166
9.900996,-0.0491,-0.0683,-0.0915,0.124
9.928704,-0.0124,0.0165,-0.1506,0.152
9.961692,0.045,-0.075,0.1524,0.176
9.96223,0.045,-0.075,0.1524,0.176
9.984382,-0.0336,-0.0893,0.0925,0.133
10.003165,-0.1261,-0.0089,-0.1048,0.164
10.029766,-0.0509,0.0464,-0.0346,0.077
10.07067,0.0351,-0.0194,0.0202,0.045
10.076829,0.0189,-0.0244,0.0155,0.035
10.093363,0.004,-0.0036,-0.022,0.023
10.130147,0.0172,0.0685,0.0747,0.103
10.177638,0.0759,-0.0541,-0.0425,0.102
10.178731,0.0759,-0.0541,-0.0425,0.102
10.20141,0.0103,-0.0146,0.0525,0.055
10.235402,0.0275,-0.0204,-0.0534,0.063
10.271859,-0.065,0.0287,-0.037,0.08
10.287686,-0.0524,-0.0875,0.1315,0.166
10.310108,-0.0361,0,0.1113,0.117
10.353103,-0.009,-0.0089,-0.1889,0.189
10.387718,-0.0171,-0.0707,0.1195,0.14
10.396458,-0.0685,-0.0389,0.2068,0.221
10.418954,0.0061,-0.0421,0.0434,0.061
10.451518,-0.0087,0.0573,-0.0493,0.076
10.492889,-0.0824,-0.0706,-0.0122,0.109
10.497716,-0.1161,-0.0239,-0.0124,0.119
10.517054,-0.0141,0.0961,0.0256,0.1
10.552988,0.0181,0.0023,0.0102,0.021
10.593176,-0.0384,0.0116,-0.0385,0.056
10.608666,0.0311,0.0398,0.1135,0.124
10.631028,0.0864,0.0205,0.0634,0.109
10.672578,-0.0462,-0.0495,-0.167,0.18
10.702599,0.0279,-0.0111,0.0564,0.064
10.717355,0.0767,-0.0107,0.0564,0.096
10.755433,-0.0369,-0.0101,-0.0986,0.106
10.806431,-0.0267,0.0379,0.1412,0.149
10.807675,-0.0231,0.019,0.128,0.131
10.808538,-0.0231,0.019,0.128,0.131
10.827127,0.1092,0.0099,0.0809,0.136
10.856864,-0.0409,0.0719,0.0263,0.087
10.896756,-0.0056,-0.0042,-0.0146,0.016
10.897439,-0.0056,-0.0042,-0.0146,0.016
10.905886,-0.0083,-0.0128,-0.0756,0.077
10.927229,0.0622,0.0405,-0.1991,0.213
10.956862,0.0305,-0.0181,-0.0528,0.064
10.998534,-0.0286,-0.0832,0.0085,0.088
10.999214,-0.0286,-0.0832,0.0085,0.088
11.008514,-0.1027,0.0274,-0.0532,0.119
11.028431,-0.05,-0.0039,-0.0342,0.061
11.049065,-0.0231,0.0139,0.034,0.043
11.068968,0.0249,0.0257,0.0776,0.085
11.097991,-0.0248,-0.0696,-0.0834,0.111
11.109168,-0.0813,-0.0131,-0.0656,0.105
11.131091,0.0021,-0.0143,0.086,0.087
11.161395,0.1207,0.0168,0.0218,0.124
11.205207,-0.1155,-0.0129,0.0882,0.146
11.206252,-0.1155,-0.0129,0.0882,0.146
11.23078,0.1052,-0.0299,0.1066,0.153
11.231808,0.1052,-0.0299,0.1066,0.153
11.252338,0.0649,0.0224,-0.1585,0.173
11.282364,-0.0359,0.075,-0.0949,0.126
11.318332,-0.0249,-0.0086,0.2269,0.228
11.319038,-0.0249,-0.0086,0.2269,0.228
11.335326,0.0079,-0.0122,0.0575,0.059
11.355478,0.008,0.0022,-0.1015,0.102
11.379046,-0.0108,0.012,-0.0679,0.07
11.424552,0.1058,-0.03,0.0366,0.116
11.425888,0.1017,-0.0643,0.0248,0.123
11.447935,0.0201,0.0183,-0.0965,0.1
11.464234,-0.0752,0.0423,-0.1011,0.133
11.479513,0.0636,0.0086,0.1118,0.129
11.498877,0.0425,-0.0092,0.1482,0.154
11.545952,-0.0366,-0.0065,-0.0399,0.055
11.54702,-0.0366,-0.0065,-0.0399,0.055
11.564537,-0.0213,0.0367,0.0098,0.044
11.583095,0.0091,0.0264,0.1046,0.108
11.616173,-0.0014,-0.007,-0.0132,0.015
11.645357,-0.038,0.0238,-0.024,0.051
11.646211,-0.0201,0.0318,0.0092,0.039
11.666229,-0.0292,0.0356,0.088,0.099
11.686355,0.0699,-0.016,0.0638,0.096
11.702239,0.0211,-0.0164,0.0323,0.042
11.747841,0.0351,0.021,0.0204,0.046
11.749032,0.0351,0.021,0.0204,0.046
11.765193,0.0668,-0.0128,0.0159,0.07
11.786187,-0.0525,0.0365,-0.1193,0.135
11.80507,-0.0572,-0.0069,-0.1165,0.13
11.839741,-0.0639,-0.0523,0.0193,0.085
11.8477,-0.0353,-0.0436,-0.0092,0.057
11.865624,-0.0994,-0.0445,-0.0388,0.116
11.884354,-0.0959,-0.0221,-0.0419,0.107
11.906998,-0.0776,-0.0324,0.0403,0.093
11.939611,0.0797,0.014,0.1285,0.152
11.948909,0.0807,0.0143,0.1405,0.163
11.969883,-0.0773,0.0238,0.0703,0.107
11.987759,0.0262,-0.0029,-0.0388,0.047
12.021916,0.0773,0.0241,-0.1855,0.202
12.064447,0.0951,-0.0216,0.1164,0.152
12.070685,0.0668,-0.0284,0.1438,0.161
12.076721,-0.0026,-0.0647,0.1629,0.175
12.087594,-0.0035,-0.0068,0.116,0.116
12.122328,-0.0547,0.0475,0.0099,0.073
12.162377,0.0327,-0.027,0.0828,0.093
12.163009,0.0327,-0.027,0.0828,0.093
12.170256,0.0327,-0.0241,0.0828,0.092
12.189802,0.0095,-0.0438,-0.1355,0.143
12.221212,-0.0383,-0.045,-0.0761,0.096
12.255795,0.0132,0.0186,0.0708,0.074
12.256694,0.0132,0.0186,0.0708,0.074
12.273728,0.0349,-0.0305,0.0148,0.049
12.293498,-0.032,-0.0099,-0.0928,0.099
12.327256,-0.0233,0.0179,0.0599,0.067
12.366391,0.0257,0.0301,0.0771,0.087
12.367045,0.0257,0.0301,0.0771,0.087
12.376787,0.0242,0.025,0.0334,0.048
12.39594,-0.0502,0.0012,0.0237,0.056
12.429035,0.0509,0.039,0.0399,0.076
12.459684,0.0705,-0.005,-0.0901,0.115
12.460806,0.0705,-0.005,-0.0901,0.115
12.476715,0.0127,-0.023,-0.0808,0.085
12.496003,0.0427,-0.0312,0.052,0.074
12.5279,-0.0322,-0.0744,0.0355,0.089
12.566432,0,0.0111,-0.1614,0.162
12.567127,0,0.0111,-0.1614,0.162
12.578467,-0.0462,0.036,-0.1348,0.147
12.598664,-0.1517,-0.0668,0.0591,0.176
12.628886,-0.0095,-0.1031,0.0565,0.118
12.684257,0.0009,0.0309,0.0601,0.068
12.68562,0.0134,0.0145,0.0222,0.03
12.6864,0.0134,0.0145,0.0222,0.03
12.701047,-0.0887,-0.0102,-0.042,0.099
12.730675,0.0856,-0.0018,-0.1099,0.139
12.780772,0.0338,0.0761,-0.0039,0.083
12.781498,0.0525,0.1187,0.0079,0.13
12.797541,-0.0051,0.0416,0.0806,0.091
12.816485,-0.0922,-0.013,0.0962,0.134
12.831061,-0.0586,0.0552,0.1444,0.165
12.850872,0.0337,0.0414,0.1443,0.154
12.89373,-0.1099,-0.0359,-0.2225,0.251
12.894586,-0.1099,-0.0359,-0.2225,0.251
12.917442,-0.0976,-0.0497,-0.0951,0.145
12.933299,-0.0003,-0.1154,-0.0021,0.115
12.95294,0.02,-0.0402,0.0685,0.082
12.996794,-0.0788,0.0256,-0.0047,0.083
12.997974,-0.0788,0.0256,-0.0047,0.083
13.018224,-0.0058,0.0685,0.0441,0.082
13.034268,0.0481,0.027,0.0629,0.084
13.049132,0.0072,-0.0007,0.0567,0.057
13.069698,-0.0416,-0.0818,-0.0172,0.093
13.1103,0.0778,0.0653,0.0104,0.102
13.111115,0.0778,0.0653,0.0104,0.102
13.128962,0.0894,0.0822,0.0101,0.122
13.154474,0.059,0.0094,-0.1229,0.137
13.17239,-0.023,0.0355,-0.1391,0.145
13.22112,0.0716,-0.0189,0.0766,0.107
13.222096,0.0716,-0.0189,0.0766,0.107
13.233819,0.015,-0.0389,0.0086,0.043
13.250602,-0.0651,-0.0175,-0.0084,0.068
13.271798,-0.0593,0.002,0.0441,0.074
13.319075,0.0384,-0.0354,-0.0817,0.097
13.320351,0.0384,-0.0354,-0.0817,0.097
13.337681,0.0048,-0.0274,-0.0865,0.091
13.354818,-0.0498,-0.0276,0.0143,0.059
13.373995,-0.0551,-0.032,0.0977,0.117
13.418146,0.0414,0.077,-0.0361,0.095
13.418981,0.0218,0.0859,-0.0405,0.097
13.438133,-0.0425,-0.0321,-0.0464,0.071
13.456137,-0.0527,-0.0344,0.0267,0.068
13.481628,0.0507,-0.021,0.0896,0.105
13.521803,-0.0065,0.0594,-0.1901,0.199
13.522233,-0.0065,0.0594,-0.1901,0.199
13.54093,-0.0711,0.0087,0.0402,0.082
13.577882,-0.1057,-0.0006,0.1431,0.178
13.626289,0.0283,0.0349,0.0588,0.074
13.62709,0.0283,0.0349,0.0588,0.074
13.627627,0.0283,0.0349,0.0588,0.074
13.641799,-0.0033,-0.0144,0.0155,0.021
13.684384,-0.0071,-0.049,-0.104,0.115
13.685352,-0.0092,-0.0707,-0.1124,0.133
13.724658,0.0462,-0.0002,-0.0546,0.072
13.725554,0.0405,0.0284,-0.0376,0.062
13.745109,-0.0192,0.0261,0.0504,0.06
13.77999,-0.0832,-0.0314,0.0309,0.094
13.818032,0.0317,0.0195,-0.0064,0.038
13.818693,0.0317,0.0195,-0.0064,0.038
13.82691,0.0396,0.0161,0.0711,0.083
13.846703,0.0649,-0.0034,0.0996,0.119
13.877436,-0.0259,0.0405,-0.0288,0.056
13.933658,0.0591,0.0343,0.06,0.091
13.934641,0.0591,0.0343,0.06,0.091
13.935466,0.0439,0.0171,0.0975,0.108
13.950217,0.0211,0.0009,0.0916,0.094
13.979244,-0.0184,-0.0764,-0.0836,0.115
14.018399,0.0382,-0.0058,0.0893,0.097
14.0191,0.0382,-0.0058,0.0893,0.097
14.029762,0.0742,-0.0707,0.1101,0.15
14.05108,0.0144,-0.0557,-0.071,0.091
14.081462,-0.0697,-0.0431,-0.0152,0.083
14.123361,0.1111,0.0259,-0.0572,0.128
14.124504,0.1087,0.0162,-0.0795,0.136
14.132809,0.0293,0.065,-0.15,0.166
14.152614,-0.1247,0.0131,-0.3159,0.34
14.175077,-0.138,0.0963,0.0054,0.168
14.2022,0.1898,-0.0812,0.1054,0.232
14.237994,-0.0288,-0.0196,0.0457,0.057
14.238889,-0.0288,-0.0196,0.0457,0.057
14.254102,-0.0245,-0.0737,0.194,0.209
14.276711,-0.0215,-0.0499,0.1203,0.132
14.323187,0.0238,0.1659,-0.208,0.267
14.337057,0.088,0.0217,-0.1254,0.155
14.337947,0.0679,-0.0173,-0.0686,0.098
14.365754,-0.0523,-0.0609,0.0879,0.119
14.391421,-0.1377,-0.0768,0.1527,0.219
14.397154,-0.0716,-0.0816,0.1766,0.207
14.424281,0.0671,-0.1045,-0.0401,0.13
14.449069,-0.0108,0.0286,-0.1876,0.19
14.466602,-0.0389,0.0037,-0.0738,0.083
14.485803,-0.0489,-0.0217,0.1111,0.123
14.501253,-0.0092,-0.0228,0.1351,0.137
14.521947,0.0405,-0.0444,0.0175,0.063
14.557218,-0.1041,0.0465,-0.0308,0.118
14.566371,0.0242,0.0571,0.0755,0.098
14.583834,0.1337,-0.0329,0.091,0.165
14.602604,0.0043,0.0127,-0.0149,0.02
14.6213,-0.0514,0.065,-0.017,0.085
14.681763,0.0635,0.0082,-0.0137,0.065
14.682594,0.0635,0.0082,-0.0137,0.065
14.68327,0.0635,0.0082,-0.0137,0.065
14.705971,-0.0211,0.0192,-0.1937,0.196
14.725388,0.0352,0.0034,-0.0179,0.04
14.773711,0.0007,-0.0281,0.015,0.032
14.774649,0.0007,-0.0281,0.015,0.032
14.787218,-0.0579,-0.0482,-0.0928,0.12
14.824711,-0.0125,-0.0151,0.126,0.128
14.825472,-0.0125,-0.0151,0.126,0.128
14.876525,-0.0015,-0.0602,-0.1758,0.186
14.877297,-0.0015,-0.0602,-0.1758,0.186
14.886806,-0.0557,-0.072,-0.1051,0.139
14.925105,0.1338,-0.0655,0.1006,0.18
14.977569,-0.0418,-0.0311,-0.0942,0.108
14.978411,-0.0418,-0.0311,-0.0942,0.108
14.978946,-0.0418,-0.0311,-0.0942,0.108
14.988212,-0.1132,0.0046,0.0407,0.12
15.027202,0.0918,0.0547,0.1814,0.211
15.081449,0.0132,0.0682,-0.0502,0.086
15.082421,-0.0112,0.0506,-0.0052,0.052
15.083097,-0.0112,0.0506,-0.0052,0.052
15.090551,-0.0143,0.0234,0.0538,0.06
15.128698,0.0545,0.0024,-0.0611,0.082
15.175606,-0.0183,-0.0171,-0.0006,0.025
15.176763,0.0088,-0.0076,0.0605,0.062
15.177285,0.0088,-0.0076,0.0605,0.062
15.1941,-0.027,-0.0171,0.1409,0.144
15.213552,-0.1079,-0.0077,0.1233,0.164
15.237041,-0.0137,-0.0071,0.0002,0.015
15.274761,-0.0612,-0.0686,-0.205,0.225
15.275318,-0.0612,-0.0686,-0.205,0.225
15.296833,-0.0943,-0.1354,-0.1107,0.199
15.314895,-0.1541,-0.0622,0.0117,0.167
15.355947,0.0106,-0.0124,0.1014,0.103
15.357203,-0.0164,-0.0205,0.0581,0.064
15.404487,-0.047,0.0161,-0.0501,0.071
15.40511,-0.047,0.0161,-0.0501,0.071
15.418088,0.0208,0.0506,0.0035,0.055
15.450037,0.12,-0.0217,-0.0361,0.127
15.498341,0.0756,0.0435,0.0256,0.091
15.499211,0.0756,0.0435,0.0256,0.091
15.499811,0.0756,0.0435,0.0256,0.091
15.516827,0.0424,0.0539,0.1172,0.136
15.550693,-0.0493,0.0092,0.0179,0.053
15.595658,0.0069,0.0081,0.0578,0.059
15.596636,0.0069,0.0081,0.0578,0.059
15.615645,0.0287,-0.0119,0.0811,0.087
15.633778,-0.0104,-0.0809,-0.0079,0.082
15.649491,-0.0734,-0.0275,-0.0922,0.121
15.669232,-0.1248,-0.0255,-0.0321,0.131
15.714922,0.0353,-0.0045,-0.0004,0.036
15.715483,0.0353,-0.0045,-0.0004,0.036
15.733753,-0.0128,0.0103,-0.1877,0.188
15.752963,-0.0981,0.0685,-0.1348,0.18
15.778796,0.0114,0.0278,0.2028,0.205
15.827053,0.0395,-0.0222,-0.1218,0.13
15.827726,0.0395,-0.0222,-0.1218,0.13
15.828489,0.0395,-0.0222,-0.1218,0.13
15.843742,0.0043,0.0202,-0.0601,0.064
15.865008,0.0819,0.017,0.1341,0.158
15.894606,0.0913,0.0049,-0.1263,0.156
15.905641,-0.0043,0.051,-0.2034,0.21
15.926002,-0.0245,-0.0032,-0.1167,0.119
15.963797,-0.0212,-0.0488,0.1397,0.15
16.021555,-0.0008,-0.0121,-0.1247,0.125
16.022482,-0.0008,-0.0121,-0.1247,0.125
16.023074,-0.0008,-0.0121,-0.1247,0.125
16.039608,-0.0019,0.0194,-0.0359,0.041
16.055573,0.0247,0.0585,0.0948,0.114
16.074722,0.0595,-0.0393,0.0923,0.117
16.123311,0.0694,-0.0004,-0.0414,0.081
16.123778,0.0694,-0.0004,-0.0414,0.081
16.135904,0.1598,0.0306,-0.0357,0.167
16.157624,0.1121,0.0269,0.0267,0.118
16.200403,-0.0494,-0.0467,0.0492,0.084
16.219447,0.0905,0.0529,0.0344,0.11
16.259586,0.0612,-0.0278,-0.0803,0.105
16.307016,-0.0147,-0.0072,0.0845,0.086
16.325677,0.0657,0.0325,0.0192,0.076
16.343843,-0.0045,0.0033,-0.0897,0.09
16.358873,-0.0378,0.0071,-0.0445,0.059
16.386368,-0.0713,0.0143,0.0528,0.09
16.438789,-0.0042,-0.0422,-0.0825,0.093
16.461441,-0.0023,-0.0759,-0.2146,0.228
16.478291,-0.1203,0.0249,-0.1441,0.189
16.496607,-0.0425,0.0493,-0.0162,0.067
16.540613,-0.029,-0.0243,0.0145,0.04
16.563254,0.0173,0.0391,-0.1527,0.159
16.595152,0.0422,0.0346,0.1325,0.143
16.626948,0.0908,-0.0343,0.0319,0.102
16.643798,0.0088,-0.0665,-0.1326,0.149
16.679834,0.1023,0.0025,-0.0097,0.103
16.72341,-0.0336,-0.0329,0.0296,0.056
16.749052,-0.2322,-0.0689,0.0287,0.244
16.764984,-0.0692,-0.0883,0.0677,0.131
16.780335,0.0613,0.0592,0.0659,0.108
16.80022,0.116,0.0692,0.0128,0.136
16.85532,-0.0855,0.0305,0.0223,0.093
16.882783,0.0746,0.013,-0.0119,0.077
16.928434,-0.0261,-0.0238,-0.0073,0.036
16.929425,-0.0115,-0.0343,0.0113,0.038
16.951062,-0.0258,-0.0469,0.0891,0.104
16.98866,0.017,0.0004,-0.0231,0.029
17.022666,-0.0137,-0.0251,-0.0675,0.073
17.038898,-0.1115,-0.0608,-0.0739,0.147
17.061941,-0.0633,-0.0243,0.0977,0.119
17.096857,0.1106,-0.0364,-0.0141,0.117
17.131978,-0.0853,-0.0606,-0.1111,0.153
17.153403,0.0609,-0.0321,0.1685,0.182
17.169725,0.011,0.0302,0.2131,0.215
17.183803,-0.043,0.0403,0.0703,0.092
17.201353,0.0366,-0.0179,-0.1365,0.142
17.221107,-0.0034,0.081,-0.0789,0.113
17.275458,0.075,0.0086,0.0606,0.097
17.276972,0.0939,-0.0191,-0.0083,0.096
17.284368,0.0747,-0.0252,-0.0505,0.094
17.304442,0.1266,-0.0199,-0.181,0.222
17.324252,0.0482,0.0406,-0.0355,0.072
17.36793,0.0194,-0.1058,-0.0719,0.129
17.368906,0.0194,-0.1058,-0.0719,0.129
17.389462,-0.0699,0.0288,-0.0938,0.12
17.407349,-0.1219,-0.0135,0.051,0.133
17.429363,-0.097,0.0031,0.1074,0.145
17.468535,-0.0934,-0.0435,-0.1019,0.145
17.46903,-0.0934,-0.0435,-0.1019,0.145
17.490042,-0.1135,0.0162,0.0535,0.127
17.50744,-0.0114,0.0646,0.1219,0.138
17.525155,0.0462,-0.0062,0.0831,0.095
17.568003,0.0057,0.0392,-0.1224,0.129
17.56918,0.0057,0.0392,-0.1224,0.129
17.583495,0.044,0.0499,0.0789,0.103
17.609336,0.0866,0.0065,0.1322,0.158
17.658201,-0.046,-0.0189,-0.0799,0.094
17.659293,-0.0549,-0.008,-0.0558,0.079
17.675677,0.0355,0.015,0.0244,0.046
17.694467,0.0868,0.0045,0.0253,0.091
17.708471,0.1023,0.0117,-0.0668,0.123
17.728809,-0.0717,-0.0188,-0.1278,0.148
17.772711,0.0248,-0.0238,0.12,0.125
17.77326,0.0537,0,0.1309,0.141
17.795494,0.0608,0.0422,-0.0435,0.086
17.812238,0.0501,0.039,-0.0297,0.07
17.838211,-0.0777,-0.0807,0.04,0.119
17.885896,0.115,0.0395,-0.1122,0.165
17.88638,0.115,0.0395,-0.1122,0.165
17.892904,0.1327,0.0475,-0.1015,0.174
17.909525,-0.0203,0.0718,-0.07,0.102
17.93037,0.0944,-0.0433,0.0704,0.126
17.971932,0.0064,0.0553,0.1207,0.133
17.972734,0.0064,0.0553,0.1207,0.133
17.992173,-0.0072,0.0113,0.0354,0.038
18.01539,0.0731,0.0259,-0.0177,0.08
18.032133,0.1055,-0.0684,-0.0967,0.159
18.085031,-0.0516,-0.0537,0.092,0.118
18.085541,-0.0516,-0.0537,0.092,0.118
18.095704,-0.0363,-0.0452,0.058,0.082
18.133187,-0.0395,0.0083,-0.1424,0.148
18.184416,0.0135,-0.0125,0.1078,0.109
