time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.020484,-0.0788,-0.0565,0.0979,0.138
4.025935,-0.0688,-0.0677,0.0995,0.139
4.042266,-0.0603,-0.0252,0.0876,0.109
4.062605,-0.0264,0.0371,0.0024,0.046
4.089872,0.083,0.1161,-0.1203,0.187
4.10684,0.051,0.0484,-0.0583,0.091
4.123192,-0.006,-0.0228,0.061,0.065
4.143985,-0.0859,-0.1244,0.0518,0.16
4.164856,-0.0906,-0.0409,0.0541,0.113
4.185845,-0.0318,-0.0131,-0.07,0.078
4.212935,0.0638,0.0354,-0.0687,0.1
4.224496,0.0847,0.0486,-0.0435,0.107
4.245016,0.0437,-0.0239,-0.0467,0.068
4.266363,0.0218,-0.0438,-0.0224,0.054
4.286781,-0.0213,-0.0893,-0.024,0.095
4.314714,0.0082,-0.0498,0.1253,0.135
4.326345,-0.022,-0.0499,-0.0139,0.056
4.347317,-0.0013,-0.0144,-0.16,0.161
4.367692,-0.0456,-0.0076,0.0445,0.064
4.387511,0.0105,0.0352,0.0307,0.048
4.418033,0.1125,0.0726,-0.0824,0.157
4.428775,0.0709,0.0492,-0.067,0.109
4.449484,0.0108,0.031,0.0758,0.083
4.470416,-0.0827,-0.0323,0.0951,0.13
4.489737,-0.0479,0.0034,0.1141,0.124
4.517461,0.0733,0.0544,-0.0345,0.098
4.53099,0.0158,0.0305,-0.0732,0.081
4.552335,-0.0024,-0.0338,0.0373,0.05
4.57221,-0.04,-0.0449,0.1622,0.173
4.595246,-0.0271,-0.0527,0.0061,0.06
4.621009,-0.0201,0.009,-0.141,0.143
4.632599,0.0171,-0.0025,-0.1575,0.158
4.653657,0.0142,0.0068,-0.0835,0.085
4.673585,0.0302,-0.028,-0.0744,0.085
4.694792,-0.0495,-0.0758,0.0343,0.097
4.720943,-0.0167,-0.0573,0.1041,0.12
4.735218,-0.0073,-0.0231,0.0591,0.064
4.756007,0.0266,-0.0299,-0.0928,0.101
4.776424,0.0109,0.0012,-0.0258,0.028
4.79626,0.0659,0.0336,-0.0205,0.077
4.822709,0.0083,-0.0151,0.0662,0.068
4.837071,-0.0235,-0.0452,0.0597,0.078
4.857877,0.0369,-0.0265,0.0033,0.046
4.878849,0.0804,0.0787,-0.118,0.163
4.898361,0.0946,0.1097,-0.1283,0.194
4.920685,0.0117,0.0632,-0.1148,0.132
4.939638,-0.0197,0.0274,-0.1279,0.132
4.959517,0.1114,0.0849,-0.1162,0.182
4.985518,0.0338,-0.089,0.2408,0.259
5.020829,-0.0495,-0.1182,0.1738,0.216
5.02152,-0.0495,-0.1182,0.1738,0.216
5.041372,0.0937,0.0639,0.02,0.115
5.062532,0.1597,0.1351,-0.2031,0.292
5.093694,0.0374,0.0034,0.0697,0.079
5.122941,-0.0434,-0.0776,0.01,0.089
5.123461,-0.0434,-0.0776,0.01,0.089
5.144038,-0.0136,-0.0142,0.0918,0.094
5.163882,-0.0156,-0.0082,0.0764,0.078
5.185915,-0.0223,-0.0464,-0.0923,0.106
5.214707,-0.0556,-0.0057,-0.0657,0.086
5.225357,-0.0365,0.0283,-0.0054,0.047
5.24502,0.0413,0.0128,0.0271,0.051
5.265702,0.0184,0.0145,0.0056,0.024
5.294507,0.0172,0.0194,0.0129,0.029
5.321772,-0.0062,-0.0228,-0.0397,0.046
5.331316,0.0038,-0.0051,-0.0602,0.061
5.348159,0.0255,0.0225,-0.0116,0.036
5.368719,0.0633,0.0432,-0.0138,0.078
5.394519,0.0159,-0.0027,0.0076,0.018
5.422356,-0.012,-0.0033,-0.0447,0.046
5.432224,-0.0088,-0.0363,-0.0794,0.088
5.451396,-0.061,-0.0623,0.0039,0.087
5.470847,-0.0544,-0.0777,0.0522,0.108
5.494103,-0.0608,-0.0567,0.0908,0.123
5.520265,-0.0396,-0.059,0.1251,0.144
5.532315,-0.019,-0.0308,0.071,0.08
5.552855,-0.0263,0.0054,-0.0086,0.028
5.573488,0.0389,0.0488,-0.0458,0.077
5.594177,0.084,0.1019,-0.0558,0.143
5.623444,0.0177,0.0295,0.0534,0.064
5.634044,0.0316,-0.0159,0.017,0.039
5.655733,-0.0421,-0.0562,0.0531,0.088
5.676175,-0.0026,-0.0286,0.0467,0.055
5.696061,-0.0226,-0.0669,-0.0157,0.072
5.726223,0.0308,0.0098,0.0044,0.033
5.737096,0.0369,-0.0057,-0.0003,0.037
5.75803,-0.005,-0.0366,-0.0333,0.05
5.778983,0.0152,0.0016,-0.1136,0.115
5.80262,0.0313,0.0311,-0.0394,0.059
5.841874,0.0113,-0.0314,-0.1465,0.15
5.842522,0.0113,-0.0314,-0.1465,0.15
5.86101,0.0125,0.04,-0.079,0.089
5.881093,-0.0091,-0.0188,0.0511,0.055
5.905418,-0.0451,-0.0408,0.0778,0.099
5.93362,0.0282,0.009,0.1431,0.146
5.942104,-0.0031,0.0317,0.1335,0.137
5.962218,-0.004,0.0138,0.0214,0.026
5.983421,-0.0436,-0.0483,0.0226,0.069
6.003158,-0.0511,-0.0624,-0.0059,0.081
6.034312,0.0131,0.0422,-0.1291,0.137
6.043929,0.0529,0.0931,-0.2189,0.244
6.064774,0.0641,0.1141,-0.1031,0.167
6.094886,-0.0249,-0.0471,0.0639,0.083
6.122229,-0.086,-0.1143,0.1129,0.182
6.135331,-0.0599,-0.0949,0.1678,0.202
6.146972,0.0086,-0.0406,0.086,0.096
6.167627,0.0633,0.0411,-0.1374,0.157
6.192926,0.1016,0.0819,-0.1046,0.167
6.220572,0.1282,0.0806,-0.0225,0.153
6.23228,0.1056,0.0738,-0.0555,0.14
6.249759,-0.0132,0.0008,0.0103,0.017
6.271328,-0.0202,-0.0838,0.0891,0.124
6.294223,0.0265,-0.0485,0.1344,0.145
6.323737,0.013,-0.0397,0.018,0.045
6.333291,0.01,-0.0392,-0.0296,0.05
6.352683,-0.029,-0.0051,-0.0377,0.048
6.374121,-0.0108,0.0474,-0.0708,0.086
6.393664,0.0083,0.0303,0.0347,0.047
6.422142,0.0246,-0.0004,-0.0099,0.027
6.434697,-0.0042,-0.0256,-0.0472,0.054
6.455662,-0.0506,-0.026,0.0813,0.099
6.476719,-0.0322,-0.0198,0.0663,0.076
6.496586,0.0133,0.0105,-0.0789,0.081
6.523358,0.0613,0.0322,-0.0631,0.094
6.538533,0.0231,-0.0325,0.0138,0.042
6.558979,-0.088,-0.1079,0.0338,0.143
6.579601,-0.0987,-0.0884,0.0144,0.133
6.603295,0.0108,-0.0412,0.0066,0.043
6.634351,0.0889,0.0487,-0.1193,0.157
6.641366,0.1047,0.0821,-0.2025,0.242
6.661005,0.0928,0.081,-0.1976,0.233
6.681197,-0.0284,-0.0346,0.0974,0.107
6.703596,-0.1177,-0.1876,0.245,0.33
6.736902,-0.0199,0.0037,0.0385,0.044
6.745779,0.0138,0.0704,0.0357,0.08
6.762284,0.0486,0.1173,0.0019,0.127
6.783264,0.0558,0.1047,-0.1173,0.167
6.803709,0.0667,0.0761,-0.0124,0.102
6.834183,-0.0075,0.0073,0.0338,0.035
6.844013,-0.0162,-0.0347,0.0168,0.042
6.865616,-0.0415,-0.0471,0.0257,0.068
6.886003,-0.0387,-0.0407,0.0224,0.06
6.905654,-0.0687,-0.0365,-0.0421,0.088
6.934537,-0.0177,0.0421,-0.1659,0.172
6.946527,0.0196,0.0729,-0.1453,0.164
6.967224,-0.0335,-0.0103,-0.0819,0.089
6.98771,-0.0198,-0.0514,0.0352,0.065
7.010788,-0.011,-0.0462,0.1066,0.117
7.039273,0.0178,-0.0087,0.1056,0.107
7.048148,0.0224,0.0055,0.085,0.088
7.06926,0.0189,0.0247,0.0704,0.077
7.090002,0.0334,0.0325,-0.0467,0.066
7.110216,0.0531,0.0668,0.0231,0.088
7.146564,-0.0188,0.0196,0.0407,0.049
7.157226,0.0122,-0.0096,0.052,0.054
7.171217,0.008,-0.0115,0.0796,0.081
7.191063,0.0021,-0.0245,0.1303,0.133
7.211641,0.009,-0.0348,0.002,0.036
7.235671,0.0519,0.0363,-0.0255,0.068
7.253034,0.0453,0.0656,-0.0389,0.089
7.273703,0.0359,-0.0001,-0.0775,0.085
7.302286,0.0158,-0.0229,-0.0628,0.069
7.336264,0.0034,-0.0188,-0.0107,0.022
7.337066,0.0106,0.0005,0.0108,0.015
7.356945,0.0175,0.0068,0.0526,0.056
7.377925,-0.0199,-0.0153,-0.081,0.085
7.402893,-0.0046,0.0162,-0.0429,0.046
7.435815,-0.0408,0.0023,-0.0438,0.06
7.443596,-0.0634,-0.0249,-0.0266,0.073
7.45947,-0.048,-0.0554,0.0822,0.11
7.48007,-0.0484,-0.0746,0.1166,0.147
7.502889,0.0123,-0.0672,0.047,0.083
7.530627,0.0323,0.0014,-0.1044,0.109
7.541659,-0.0005,0.0318,-0.1499,0.153
7.562444,0.043,0.0541,-0.2974,0.305
7.582397,0.0968,0.0862,-0.1901,0.23
7.603327,0.0974,0.0581,0.1248,0.169
7.636585,0.0272,0.0241,-0.058,0.068
7.642958,0.0172,0.0097,-0.0622,0.065
7.664142,-0.0398,-0.0386,0.0056,0.056
7.684909,-0.06,-0.0515,0.1228,0.146
7.704114,-0.0158,-0.0317,0.2358,0.238
7.734996,0.0473,-0.0063,0.0262,0.054
7.744764,0.0688,0.0204,0.007,0.072
7.766271,0.0264,-0.0033,-0.0235,0.036
7.786986,-0.0397,-0.0778,-0.0018,0.087
7.806318,-0.0635,-0.0963,-0.0463,0.124
7.837762,0.0377,0.0587,-0.2162,0.227
7.850143,0.0749,0.0721,-0.1869,0.214
7.868141,0.0849,0.0508,-0.1659,0.193
7.888681,0.0312,0.0296,-0.1611,0.167
7.911583,-0.0424,-0.0146,0.0007,0.045
7.941375,-0.0029,0.028,0.0115,0.03
7.949389,0.0051,0.0537,0.0067,0.054
7.970832,-0.0305,0.0187,0.0511,0.062
7.990505,-0.0638,-0.0328,0.1363,0.154
8.011076,-0.1075,-0.0321,0.2603,0.283
8.040745,-0.0707,-0.0372,0.1737,0.191
8.052175,-0.0379,-0.0079,0.1025,0.11
8.072778,0.0645,0.1013,0.0831,0.146
8.093586,0.1106,0.1035,0.0053,0.152
8.113006,0.1199,0.0635,0.0104,0.136
8.14829,-0.043,-0.1553,0.0356,0.165
8.156372,-0.0234,-0.1434,-0.095,0.174
