time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.010932,-0.0022,-0.0111,0.0095,0.015
8.03041,-0.0066,-0.0248,-0.0046,0.026
8.049202,-0.0066,-0.0239,-0.0135,0.028
8.069959,0.0075,-0.0135,-0.0171,0.023
8.089595,0.0071,-0.017,-0.0299,0.035
8.109854,-0.0026,0.0073,-0.0096,0.012
8.130885,0.0111,-0.0071,-0.0228,0.026
8.151022,-0.0035,-0.0119,0.0069,0.014
8.171916,-0.0034,-0.0018,0.0073,0.008
8.190985,0.0248,-0.0063,-0.0165,0.03
8.217638,0.0048,-0.0112,-0.0387,0.041
8.23146,-0.0095,-0.0061,-0.042,0.043
8.25188,-0.0047,-0.0058,-0.0162,0.018
8.272721,-0.0094,-0.001,0.0087,0.013
8.293167,0.0093,-0.001,0.0235,0.025
8.317586,0.018,-0.0056,0.0095,0.021
8.333234,0.0081,-0.0099,-0.0044,0.014
8.3534,0.0124,0.0092,0.0153,0.022
8.373445,0.0119,0.0084,0.0018,0.015
8.394831,-0.0121,0.0025,0.0171,0.021
8.416463,-0.0205,0.0011,0.0269,0.034
8.434199,-0.0103,-0.0041,0.026,0.028
8.454456,0.0325,-0.0191,0.0197,0.043
8.47457,0.0268,-0.015,-0.0184,0.036
8.49475,-0.1144,0.0176,-0.0221,0.118
8.518822,-0.0399,-0.0114,-0.0184,0.045
8.535248,-0.0008,-0.0662,0.0407,0.078
8.555454,0.0419,-0.0439,0.0895,0.108
8.577083,0.106,0.0238,-0.0225,0.111
8.597418,0.0129,0.0463,-0.1293,0.138
8.616141,-0.0998,0.04,-0.0495,0.118
8.636362,-0.0493,0.0013,0.0468,0.068
8.657163,0.0132,0.0058,0.0685,0.07
8.67997,0.0452,0.0238,0.0136,0.053
8.699058,0.0299,0.0184,-0.0207,0.041
8.719259,0.0105,0.032,-0.0208,0.04
8.739744,-0.0272,0.0307,-0.0251,0.048
8.760013,-0.0169,0.0154,0.0086,0.024
8.779913,-0.0304,-0.004,0.0126,0.033
8.800425,-0.0152,-0.0133,0.0205,0.029
8.8242,0.0095,0.006,0.013,0.017
8.841312,0.0096,0.0153,0.0068,0.019
8.861414,0.0097,0.0192,-0.0042,0.022
8.882107,-0.0183,-0.0004,-0.0098,0.021
8.902035,-0.0269,-0.0049,-0.005,0.028
8.922847,0.0023,0.0236,0.0318,0.04
8.942713,0.0071,0.0179,0.0202,0.028
8.963022,0.0074,-0.0018,-0.0047,0.009
8.983739,0.0029,0.0121,0.0092,0.015
9.003961,-0.0107,0.0022,0.0035,0.011
9.024097,0.004,0.0018,-0.0068,0.008
9.044407,-0.0197,0.0011,0.0022,0.02
9.065146,-0.0143,0.0052,0.0017,0.015
9.085178,0.0145,0.0091,0.0005,0.017
9.106075,0.0283,0.013,-0.0096,0.033
9.126881,0.0182,-0.0023,-0.0151,0.024
9.146467,0.0083,-0.0123,-0.0051,0.016
9.167128,-0.0156,-0.0172,0.01,0.025
9.187133,-0.0199,0.0156,0.0337,0.042
9.22226,-0.0139,-0.015,-0.0105,0.023
9.23752,0.0101,-0.0243,0.0039,0.027
9.248059,0.0099,-0.0335,0.0138,0.038
9.268356,0.0048,-0.0047,0.005,0.008
9.289184,0.0137,0.0134,0.0058,0.02
9.321876,-0.0949,-0.0074,0.0497,0.107
9.335095,-0.0547,0.0252,0.0242,0.065
9.350012,0.0507,-0.0132,-0.0348,0.063
9.370279,-0.0165,-0.0639,-0.0116,0.067
9.390863,0.0174,-0.0279,0.0542,0.063
9.421588,0.1142,0.0654,-0.0285,0.135
9.436673,0.031,0.0154,-0.0789,0.086
9.451155,-0.0451,-0.0422,-0.029,0.068
9.471674,-0.0767,-0.0409,0.0332,0.093
9.49218,-0.0171,0.0347,0.0045,0.039
9.519963,0.0534,0.0407,0.013,0.068
9.533884,0.0427,0.0106,0.0028,0.044
9.55315,0.0225,0.0044,0.0452,0.051
9.573525,-0.0158,-0.0113,0.0113,0.022
9.593678,-0.0389,0.007,-0.0024,0.04
9.621336,-0.0088,-0.0271,-0.0023,0.029
9.638231,0.0244,-0.0271,-0.0116,0.038
9.654738,0.0377,-0.0223,0.0171,0.047
9.676033,0.0032,0.0202,0.0124,0.024
9.696141,-0.0014,0.028,-0.0112,0.03
9.720384,0.0034,0.0072,-0.0103,0.013
9.73551,0.0034,-0.0032,0.0187,0.019
