time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.020865,-0.1286,0.3703,-1.9883,2.027
5.035134,0.0395,0.5407,-1.8826,1.959
5.051721,0.1092,0.5047,-1.6543,1.733
5.068745,0.2057,0.4351,-1.5027,1.578
5.097265,0.4422,0.3546,-1.0577,1.2
5.121889,-0.0611,0.3179,0.1722,0.367
5.138512,-0.2626,0.1638,0.8074,0.865
5.152359,-0.3252,0.0928,1.0733,1.125
5.1706,-0.1449,0.078,0.7287,0.747
5.198915,-0.1394,0.4142,0.0829,0.445
5.224571,-0.3019,0.7751,0.186,0.852
5.238591,-0.4069,0.9298,0.4659,1.117
5.254136,-0.3475,0.8834,0.6305,1.14
5.270336,-0.019,0.7106,0.6516,0.964
5.291547,0.8935,-0.1218,0.9679,1.323
5.318419,1.0063,-0.539,2.1129,2.402
5.341852,0.1327,-0.349,2.9229,2.947
5.359205,-0.2069,-0.7576,2.5085,2.629
5.374233,-0.5851,-0.8952,1.6349,1.954
5.411897,-0.9584,-0.6092,-0.3475,1.188
5.440792,-0.6571,-0.0585,-0.6746,0.944
5.442329,-0.6184,0.0874,-0.7448,0.972
5.457858,-0.5837,0.3449,-1.0042,1.212
5.473777,-0.6033,0.4201,-1.4421,1.619
5.511386,-0.4586,-0.0314,-1.3616,1.437
5.541089,-0.7084,-0.2507,-0.1812,0.773
5.54483,-0.729,-0.2832,-0.1076,0.789
5.561054,-0.7171,-0.4468,-0.1068,0.852
5.577254,-0.5884,-0.5744,-0.0933,0.828
5.620944,-0.3032,-0.6102,1.2147,1.393
5.622502,-0.286,-0.6273,1.2515,1.429
5.648309,-0.4051,-0.7226,0.5525,0.996
5.659976,-0.5068,-0.6309,-0.0208,0.81
5.677045,-0.4085,-0.4281,-1.0814,1.233
5.713214,0.3085,-0.1281,-1.7274,1.759
5.742569,0.4018,0.0563,-1.2945,1.357
5.743403,0.4018,0.0563,-1.2945,1.357
5.763083,0.0079,0.1347,-1.0965,1.105
5.780642,-0.281,0.1618,-0.5678,0.654
5.816211,0.4213,-0.2809,-0.1349,0.524
5.844505,0.2839,0.2903,0.2072,0.456
5.845382,0.2839,0.2903,0.2072,0.456
5.864853,-0.1169,0.1976,1.2322,1.253
5.88245,-0.2762,0.0443,1.6932,1.716
5.916937,0.2859,-0.5696,0.8578,1.069
5.948553,0.3238,-0.4047,1.6124,1.694
5.950465,0.2112,-0.3876,1.902,1.953
5.966678,-0.1563,-0.762,2.5479,2.664
5.984018,-0.4517,-1.0643,2.9237,3.144
6.021851,0.2938,-1.2625,2.72,3.013
6.046351,0.8203,-0.6141,0.7197,1.252
6.047061,0.8203,-0.6141,0.7197,1.252
6.067125,0.5662,-0.1016,-0.7841,0.972
6.084466,0.3579,0.0505,-2.1926,2.222
6.119804,0.1714,0.2372,-3.3589,3.372
6.159334,1.4375,-0.6815,-1.5495,2.221
6.160829,1.5633,-0.8407,-1.25,2.171
6.167934,1.6152,-0.9729,-0.9436,2.108
6.189323,1.0351,-1.0924,0.0144,1.505
6.224905,-0.8363,-0.4635,-0.0773,0.959
6.250828,-0.5579,-0.2406,-1.2837,1.42
6.25162,-0.5579,-0.2406,-1.2837,1.42
6.269518,-0.1501,0.1498,-1.692,1.705
6.290137,0.33,0.3617,-1.4615,1.541
6.322126,-0.2863,0.1863,-0.2677,0.434
6.350979,-0.681,0.0508,-0.0491,0.685
6.352032,-0.681,0.0508,-0.0491,0.685
6.371019,-0.7001,0.3174,-0.1633,0.786
6.392887,-0.2773,0.2829,-0.1407,0.42
6.423631,0.3279,0.57,0.28,0.715
6.463528,0.591,0.8368,0.2351,1.051
6.464535,0.591,0.8368,0.2351,1.051
6.473689,0.4138,0.8489,0.079,0.948
6.49596,0.3924,0.3799,-0.22,0.589
6.524814,0.3572,0.3052,0.5297,0.708
6.553638,1.1011,-0.0706,2.2837,2.536
6.574213,1.0904,-0.5662,2.6961,2.963
6.593045,-0.0029,-0.3192,2.3742,2.396
6.607218,-0.43,-0.1807,1.9755,2.03
6.623945,-0.8057,0.363,1.0634,1.383
6.651934,0.0443,0.5382,-0.8988,1.049
6.684285,0.3841,0.1509,-0.0169,0.413
6.685123,0.3841,0.1509,-0.0169,0.413
6.699224,0.1058,-0.4444,1.1536,1.241
6.735626,-0.9678,-1.0834,1.5951,2.157
6.765448,-0.9664,-0.9398,-0.558,1.459
6.76653,-0.9664,-0.9398,-0.558,1.459
6.780836,-0.5155,-0.7695,-1.3544,1.641
6.801212,0.2785,-0.6145,-1.4192,1.571
6.834681,0.586,-0.8942,-0.0987,1.074
6.862668,-0.1837,-0.6981,0.4058,0.828
6.86395,-0.3292,-0.6813,0.3477,0.833
6.882507,-0.5569,-0.6639,-0.325,0.926
6.903376,-0.542,-0.56,-1.4896,1.681
6.928255,0.1179,0.0084,-2.0074,2.011
6.957806,1.0138,0.5373,-1.6833,2.037
6.979293,1.0582,0.4293,-1.1741,1.638
6.997242,0.8341,0.2011,-0.8215,1.188
