time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.024855,-0.7669,0.4984,-1.0727,1.41
5.035961,-0.7212,0.4079,-0.9385,1.252
5.052309,-0.5927,0.0982,-0.8107,1.009
5.072636,-0.6442,-0.0513,-1.0189,1.207
5.092877,-0.8567,-0.1563,-1.3284,1.588
5.124738,-0.8664,-0.2018,-1.4813,1.728
5.135103,-0.9602,-0.1897,-1.392,1.702
5.15328,-1.3391,-0.154,-1.1132,1.748
5.174123,-1.8245,-0.2954,-0.4929,1.913
5.194011,-2.3135,-0.5625,-0.2643,2.396
5.217109,-2.5586,-1.1417,-0.5454,2.854
5.234318,-2.4704,-1.5617,-0.6555,2.995
5.255079,-2.3759,-1.8131,-0.748,3.081
5.275753,-1.932,-1.807,-0.6603,2.727
5.295609,-1.5686,-1.6286,-0.8454,2.414
5.318009,-1.2481,-1.4492,-1.2022,2.259
5.33597,-0.6858,-1.4379,-1.3056,2.06
5.356668,0.5414,-1.7026,-0.577,1.877
5.376929,2.4048,-1.795,1.2453,3.249
5.39721,5.5203,-0.3089,3.5095,6.549
5.418426,8.9804,4.0701,6.4992,11.809
5.437961,8.459,6.8617,4.7599,11.887
5.458366,4.7257,5.4363,2.0347,7.485
5.478682,3.0955,0.8812,0.1077,3.22
5.499252,4.4196,-1.9744,0.0811,4.841
5.519396,3.446,-2.0877,1.1328,4.185
5.539579,1.0852,-0.7213,1.2719,1.821
5.55992,-1.0619,0.229,0.7013,1.293
5.580689,-2.9401,0.5345,0.2105,2.996
5.600772,-4.0586,0.4584,0.2943,4.095
5.620791,-4.5125,0.3939,0.7386,4.589
5.641392,-4.3141,0.3739,1.2795,4.515
5.661634,-3.1391,0.4931,1.7654,3.635
5.682218,-1.6727,0.7207,2.0906,2.773
5.702048,-0.8642,0.8287,1.6118,2.008
5.722378,-0.3597,0.9652,0.7718,1.287
5.742886,-0.1631,0.9496,-0.29,1.006
5.763368,-0.7496,0.7756,-1.2451,1.647
5.783401,-1.6798,0.273,-1.736,2.431
5.803674,-1.6929,-0.0589,-2.119,2.713
5.827687,-0.755,0.1857,-2.0453,2.188
5.843757,-0.7819,0.4512,-1.752,1.971
5.864507,-1.5096,0.5492,-1.4283,2.15
5.884904,-2.0461,0.307,-1.0046,2.3
5.904988,-1.3403,0.2071,-0.3199,1.393
5.925708,-0.4751,0.2851,-0.0246,0.555
5.945597,-0.4165,0.4086,0.1538,0.603
5.965921,-1.2138,-0.0955,-0.2703,1.247
5.98601,-1.2503,-0.3513,-0.6851,1.468
6.006153,-0.5902,0.2154,-1.0039,1.184
6.026526,-0.2665,0.4985,-1.3926,1.503
6.047158,-0.6093,0.0371,-1.3169,1.452
6.067528,-1.1139,0.2336,-0.8881,1.444
6.087263,-0.9636,1.1686,-0.1899,1.527
6.107636,-0.4562,1.8771,0.153,1.938
6.128076,0.5792,1.7573,0.5714,1.937
6.14845,2.2502,1.28,1.9042,3.214
6.170212,6.3115,0.5585,3.0746,7.043
6.189097,9.9693,-1.0567,4.9187,11.167
6.209193,8.9139,-2.3954,4.2031,10.142
6.229721,3.725,-2.9316,0.5478,4.772
6.249502,0.328,-1.9777,-1.4016,2.446
6.269979,-0.1349,-0.7851,-0.3194,0.858
6.290155,0.0746,-0.9089,1.2166,1.52
6.310495,-0.6825,-0.6016,1.5424,1.791
6.332591,-2.0501,0.7418,1.7931,2.823
6.352217,-3.5477,1.4003,1.5868,4.131
6.372559,-2.5351,0.136,0.2872,2.555
6.392955,-1.3299,-0.938,-0.5108,1.706
6.412761,-0.7124,-1.5333,-1.2197,2.085
6.434217,-0.3227,-1.697,-1.4542,2.258
6.453698,-0.2437,-1.5701,-1.5765,2.238
6.473761,-0.4878,-1.2061,-1.3682,1.888
6.495285,-0.3845,-0.6733,-1.1002,1.346
6.523111,0.1315,-0.2953,-0.9429,0.997
6.535837,0.5245,-0.3632,-0.854,1.066
6.556013,0.4778,-0.233,-0.7717,0.937
6.576168,0.0971,0.0345,-0.6012,0.61
6.596528,-0.36,0.2672,-0.2986,0.539
6.619863,-1.211,0.1966,-0.6415,1.384
6.637785,-1.7565,-0.2448,-0.7362,1.92
6.657472,-2.2104,-0.9251,-0.7264,2.504
6.67902,-2.6225,-1.2783,-0.8038,3.026
6.699441,-2.6854,-1.1578,-1.0107,3.094
6.718798,-2.4828,-0.7293,-1.1045,2.814
6.738899,-1.9942,-0.5205,-1.0758,2.325
6.759434,-1.3448,-0.4849,-1.1946,1.863
6.780206,-0.7529,-0.6539,-1.4525,1.762
6.800952,-0.1863,-0.6897,-1.5969,1.749
6.828622,-0.6007,-0.7551,-1.7148,1.968
6.840481,-1.0876,-0.7664,-1.6028,2.083
6.861251,-2.0684,-0.7129,-1.3618,2.577
6.881138,-2.3353,-0.8921,-1.1811,2.765
6.901022,-0.9752,-2.0075,-0.2521,2.246
6.928082,3.7613,-1.8895,2.4323,4.861
6.942124,6.6548,-0.975,4.0521,7.852
6.962971,11.9558,4.156,10.9889,16.762
6.987661,5.3024,6.1968,4.1857,9.167
7.005257,2.3746,3.8371,0.2714,4.521
7.027929,2.7178,-0.3052,-1.2865,3.022
7.04328,3.9462,-1.9649,-0.2688,4.417
7.06404,2.7742,-1.5063,0.548,3.204
7.084755,0.5363,0.1922,0.9962,1.148
7.104244,-2.1188,1.3438,0.9217,2.673
7.126714,-3.7668,0.6348,0.4437,3.846
7.14447,-3.826,-0.3461,0.6474,3.896
7.166059,-3.7883,-0.8355,1.0659,4.023
7.185922,-3.6359,-0.1284,1.4198,3.905
7.207065,-2.7732,0.5005,1.3175,3.111
7.226911,-1.4915,0.9156,0.6099,1.853
7.246519,-0.4142,0.9302,-0.1009,1.023
7.266645,0.2795,0.6965,-0.6011,0.962
7.287262,0.5788,0.4767,-0.9022,1.173
7.314491,0.2834,-0.0787,-1.2888,1.322
7.334904,-0.3968,-0.2527,-1.5329,1.604
7.355625,-0.8369,-0.1591,-1.2135,1.483
7.376135,-1.0472,0.023,-0.6453,1.23
7.396003,-1.0041,0.0872,-0.1111,1.014
7.416502,-1.1876,0.0664,0.2158,1.209
7.436563,-1.6565,0.1428,0.4337,1.718
7.457187,-2.1007,0.0523,-0.074,2.103
7.477507,-2.0605,-0.002,-0.5896,2.143
7.498072,-1.3108,0.1344,-1.1102,1.723
7.527737,-0.1983,0.2973,-1.2165,1.268
7.5404,0.1184,0.3974,-1.1517,1.224
7.55891,-0.638,0.4101,-1.0125,1.265
7.580321,-1.7821,0.2702,-0.8163,1.979
7.600857,-2.6031,0.3793,-0.9088,2.783
7.624942,-2.3516,0.8515,-1.2705,2.805
7.641362,-2.0709,1.1716,-1.4492,2.786
7.662407,-1.661,1.4133,-1.126,2.454
7.682895,-0.8208,1.6637,-0.4186,1.902
7.703435,0.2728,1.897,0.3636,1.951
7.734058,8.3875,0.8958,3.4551,9.115
7.748941,13.5266,-1.5034,3.9849,14.181
7.764867,13.3966,-3.5163,1.7446,13.96
7.784571,6.2134,-4.6877,0.808,7.825
7.808419,1.5518,-4.1066,-0.2624,4.398
7.83133,3.458,-2.13,1.1532,4.222
7.844881,2.8526,-1.6853,1.0797,3.485
7.865321,0.5299,-0.5143,0.841,1.119
7.885809,-1.5135,0.9737,1.1103,2.115
7.905936,-3.7388,2.1321,2.5254,4.99
7.93157,-4.2137,1.666,2.4447,5.148
7.946037,-3.4684,0.6464,1.6312,3.887
7.9674,-2.9878,-0.7986,0.7011,3.171
7.987747,-2.2889,-1.8867,0.3666,2.989
8.007886,-1.4189,-2.2139,-0.1135,2.632
8.034154,-0.9771,-1.5904,-1.0706,2.152
8.047289,-0.8928,-1.2324,-1.3989,2.067
8.067655,-0.6972,-0.4096,-1.6403,1.829
8.088013,-0.4562,0.455,-1.4972,1.63
8.109136,0.2938,0.4522,-1.5533,1.644
8.128599,0.6988,-0.0448,-1.8363,1.965
8.149431,0.5403,-0.3554,-2.1289,2.225
8.169882,-0.0515,-0.4197,-1.9001,1.947
8.190132,-1.0432,-0.247,-1.4314,1.788
8.210463,-1.9071,-0.2396,-1.0797,2.205
8.230333,-2.8201,-0.5286,-1.1205,3.08
8.251007,-3.2198,-0.862,-1.1339,3.521
8.270841,-3.1783,-1.1337,-1.08,3.543
8.291902,-2.8147,-1.533,-0.8832,3.325
8.312674,-2.5038,-1.7091,-0.6053,3.091
8.331614,-2.3129,-1.8208,-0.7996,3.05
8.352031,-2.0035,-1.8295,-1.0254,2.9
8.371872,-1.5997,-1.5823,-1.3323,2.615
8.393018,-1.3518,-1.1518,-1.3059,2.204
8.41284,-0.2651,-1.5748,-0.7849,1.779
8.434765,2.397,-2.2935,0.2882,3.33
8.453563,6.2418,-1.9526,1.803,6.784
8.474783,10.6089,2.0688,5.6246,12.185
8.502947,6.8873,7.1297,3.7561,10.601
8.515013,3.658,5.9585,1.6775,7.19
8.539492,2.3284,0.8118,-0.8725,2.616
8.555001,3.6477,-1.0448,-0.567,3.837
8.575322,5.3134,-2.8746,1.622,6.255
8.595712,2.6932,-1.6521,1.4245,3.466
8.616,-0.2083,-0.1872,0.9996,1.038
8.63602,-1.4428,-0.0744,0.7453,1.626
8.656762,-2.0751,-0.5304,0.5621,2.214
8.676926,-2.8112,-0.94,0.7728,3.063
8.697485,-3.4907,-0.6331,1.4575,3.835
8.717896,-3.6419,0.1659,1.7122,4.028
8.737787,-3.4994,0.7975,1.9371,4.078
8.758319,-2.9306,1.161,1.9102,3.686
8.778355,-2.0666,1.2067,1.432,2.789
8.798533,-0.8697,1.0607,0.7306,1.554
8.818869,-0.0025,0.8555,0.3366,0.919
8.842419,0.3705,-0.0615,-0.8793,0.956
8.858855,0.141,-0.7072,-1.4308,1.602
8.880388,-0.2179,-1.1486,-1.8888,2.221
8.899706,-0.0739,-0.7846,-2.0575,2.203
8.920279,0.0442,-0.2993,-2.2572,2.277
8.940689,-0.2487,-0.1235,-2.1025,2.121
8.960701,-0.6071,-0.0925,-1.3231,1.459
8.984723,-1.1961,-0.0293,-0.657,1.365
9.005116,-1.8072,0.0589,-0.2758,1.829
9.02878,-2.3796,0.3332,-0.2412,2.415
9.044782,-2.6653,0.3059,-0.5411,2.737
9.065965,-3.256,-0.3466,-1.4222,3.57
9.086548,-3.3235,-1.0529,-1.9427,3.991
9.106263,-2.5128,-0.9944,-2.0701,3.404
9.133027,-1.3633,0.2481,-2.0844,2.503
9.148452,-1.1502,1.098,-2.1253,2.654
9.167437,-1.2465,2.282,-1.7769,3.149
9.187013,-0.6531,2.7599,-0.7041,2.922
9.207125,0.8406,2.2212,1.0145,2.583
9.232685,3.3744,3.0702,3.9374,6.026
9.247889,3.9919,3.5068,4.9455,7.259
9.268922,6.2221,0.7611,4.4206,7.67
9.2924,10.3312,-5.2695,2.8892,11.952
9.31711,9.7839,-7.9774,4.8527,13.525
9.339014,5.5964,-6.0271,2.9785,8.747
9.357456,1.2083,-2.002,0.2449,2.351
9.376235,-0.9954,1.1061,0.3311,1.524
9.396235,-1.8953,1.716,1.8395,3.15
