time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.053944,-0.2121,-0.3596,-3.2585,3.285
4.07567,-0.1968,-0.5189,-3.2595,3.306
4.09649,-0.4934,-0.4218,-3.1148,3.182
4.109619,-0.5577,-0.0956,-2.6313,2.691
4.131119,-0.1833,-0.1832,-2.0232,2.04
4.15494,-0.1643,-0.1951,-2.1671,2.182
4.17277,-0.2937,-0.1539,-2.2518,2.276
4.193021,-0.408,0.1237,-1.8044,1.854
4.213297,-0.3027,0.1426,-1.5718,1.607
4.233491,-0.0889,0.0243,-1.4083,1.411
4.253804,0.0348,0.0178,-1.4885,1.489
4.274383,-0.2057,0.2219,-0.8828,0.933
4.295686,-0.1906,0.2357,-0.0765,0.313
4.315135,0.1449,0.2233,0.3241,0.419
4.339023,0.1491,0.5725,0.8157,1.008
4.37281,-0.5803,0.4039,2.5725,2.668
4.394338,-0.4267,0.4173,3.3743,3.427
4.400854,-0.3469,0.5411,3.5394,3.597
4.418108,-0.0035,0.7485,3.8731,3.945
4.437967,-0.065,0.6114,3.292,3.349
4.470451,0.1335,0.3247,2.1486,2.177
4.492297,1.2987,-0.1715,3.9593,4.17
4.503394,1.201,-0.3217,5.1843,5.331
4.518149,0.8143,-0.7536,5.7622,5.868
4.538859,-0.1851,-1.0928,3.3883,3.565
4.569674,-0.5184,-0.3435,-0.6602,0.907
4.59216,0.4325,-0.0021,-1.1959,1.272
4.599349,0.6488,-0.0963,-1.3638,1.513
4.621111,1.1939,-0.799,-0.9075,1.699
4.640598,0.5213,-0.6999,-0.0192,0.873
4.668627,0.0744,-0.5364,-0.626,0.828
4.688793,0.1387,-0.5424,-1.5533,1.651
4.701325,0.2119,-0.2821,-2.3165,2.343
4.723321,0.6112,-0.4627,-2.7361,2.841
4.742107,0.3343,-0.3309,-2.5857,2.628
4.769114,0.2027,-0.5816,-2.5667,2.64
4.792136,0.2459,-0.701,-3.1539,3.24
4.803135,0.3496,-0.826,-3.4921,3.605
4.822808,0.5479,-1.0665,-3.9138,4.093
4.842775,0.2418,-0.5481,-3.6595,3.708
4.874021,0.3528,-0.1844,-1.8888,1.93
4.897667,0.5206,-0.6779,-1.4688,1.699
4.904438,0.4387,-0.6793,-1.4169,1.631
4.924164,0.1281,-0.0882,-0.5427,0.565
4.944953,0.3651,0.3526,1.3977,1.487
4.973901,0.1843,-0.1126,2.1358,2.147
4.995881,-0.3207,0.2638,1.4034,1.464
5.006566,-0.4171,0.415,1.6174,1.721
5.025439,-0.2467,0.6514,2.4943,2.59
5.046689,0.2002,0.4158,4.0416,4.068
5.088128,-0.1828,0.3963,4.1533,4.176
5.092621,0.0382,0.2414,4.073,4.08
5.117683,1.444,-0.2736,4.6214,4.849
5.135217,1.3743,-0.7768,4.5743,4.839
5.151586,1.1266,-1.6386,4.0954,4.553
5.168621,-0.1022,-1.7274,2.0138,2.655
5.194319,-0.6944,-0.6057,-0.5355,1.066
5.227872,1.3056,0.1897,-0.8682,1.579
5.236934,1.5581,0.0826,-0.8377,1.771
5.251086,1.9065,-0.4413,-0.7881,2.11
5.294253,0.9899,0.0098,-0.7965,1.271
5.29632,0.9899,0.0098,-0.7965,1.271
5.322469,0.6823,-0.4228,-2.0428,2.195
5.334117,0.6479,-0.7855,-3.1329,3.294
5.351157,0.7023,-0.7895,-3.8771,4.018
5.371925,0.7872,-0.1294,-4.1407,4.217
5.403104,1.0533,0.1715,-2.6462,2.853
5.426466,0.6849,0.1203,-2.8245,2.909
5.433162,0.62,0.0091,-2.807,2.875
5.453014,0.3159,-0.0712,-2.5573,2.578
5.473344,0.1363,0.264,-1.896,1.919
5.502689,0.3918,0.0371,-0.9125,0.994
5.527167,0.141,0.1484,-1.2176,1.235
5.534383,0.1919,0.1795,-1.1704,1.2
